Make,Model,Year,Engine Fuel Type,Engine HP,Engine Cylinders,Transmission Type,Driven_Wheels,Number of Doors,Vehicle Size,Vehicle Style,MSRP,Avg. MPG
Chevrolet,Cobalt,2008,regular unleaded,148.0,4.0,MANUAL,front wheel drive,2.0,Compact,Coupe,14410,28.5
Chevrolet,Cobalt,2008,regular unleaded,148.0,4.0,MANUAL,front wheel drive,4.0,Compact,Sedan,15120,28.5
Chevrolet,Cobalt,2008,premium unleaded (recommended),260.0,4.0,MANUAL,front wheel drive,2.0,Compact,Coupe,22335,26.0
Chevrolet,Cobalt,2008,regular unleaded,148.0,4.0,MANUAL,front wheel drive,4.0,Compact,Sedan,14410,28.5
Chevrolet,Cobalt,2008,regular unleaded,173.0,4.0,MANUAL,front wheel drive,4.0,Compact,Sedan,19695,27.0
Chevrolet,Cobalt,2008,regular unleaded,148.0,4.0,MANUAL,front wheel drive,2.0,Compact,Coupe,15120,28.5
Chevrolet,Cobalt,2008,regular unleaded,173.0,4.0,MANUAL,front wheel drive,2.0,Compact,Coupe,19695,27.0
Chevrolet,Cobalt,2009,regular unleaded,155.0,4.0,MANUAL,front wheel drive,2.0,Compact,Coupe,16460,30.0
Chevrolet,Cobalt,2009,regular unleaded,155.0,4.0,MANUAL,front wheel drive,4.0,Compact,Sedan,15660,30.0
Chevrolet,Cobalt,2009,premium unleaded (recommended),260.0,4.0,MANUAL,front wheel drive,2.0,Compact,Coupe,23425,26.0
Chevrolet,Cobalt,2009,regular unleaded,155.0,4.0,MANUAL,front wheel drive,2.0,Compact,Coupe,15660,30.0
Chevrolet,Cobalt,2009,premium unleaded (recommended),260.0,4.0,MANUAL,front wheel drive,4.0,Compact,Sedan,23425,26.0
Chevrolet,Cobalt,2009,regular unleaded,155.0,4.0,MANUAL,front wheel drive,4.0,Compact,Sedan,14990,31.0
Chevrolet,Cobalt,2009,regular unleaded,155.0,4.0,MANUAL,front wheel drive,2.0,Compact,Coupe,14990,31.0
Chevrolet,Cobalt,2009,regular unleaded,155.0,4.0,MANUAL,front wheel drive,4.0,Compact,Sedan,16460,30.0
Chevrolet,Cobalt,2010,regular unleaded,155.0,4.0,MANUAL,front wheel drive,4.0,Compact,Sedan,15670,31.0
Chevrolet,Cobalt,2010,premium unleaded (recommended),260.0,4.0,MANUAL,front wheel drive,2.0,Compact,Coupe,24535,26.0
Chevrolet,Cobalt,2010,regular unleaded,155.0,4.0,MANUAL,front wheel drive,2.0,Compact,Coupe,14990,31.0
Chevrolet,Cobalt,2010,regular unleaded,155.0,4.0,MANUAL,front wheel drive,4.0,Compact,Sedan,16470,31.0
Chevrolet,Cobalt,2010,regular unleaded,155.0,4.0,MANUAL,front wheel drive,4.0,Compact,Sedan,14990,31.0
Chevrolet,Cobalt,2010,regular unleaded,155.0,4.0,MANUAL,front wheel drive,2.0,Compact,Coupe,16470,31.0
Chevrolet,Cobalt,2010,regular unleaded,155.0,4.0,MANUAL,front wheel drive,2.0,Compact,Coupe,15670,31.0
Chevrolet,Colorado,2012,regular unleaded,300.0,8.0,AUTOMATIC,rear wheel drive,4.0,Compact,Crew Cab Pickup,28340,17.0
Chevrolet,Colorado,2012,regular unleaded,242.0,5.0,AUTOMATIC,four wheel drive,4.0,Compact,Extended Cab Pickup,29480,20.0
Chevrolet,Colorado,2012,regular unleaded,185.0,4.0,MANUAL,four wheel drive,4.0,Compact,Extended Cab Pickup,23030,21.0
Chevrolet,Colorado,2012,regular unleaded,185.0,4.0,MANUAL,four wheel drive,2.0,Compact,Regular Cab Pickup,20980,21.0
Chevrolet,Colorado,2012,regular unleaded,242.0,5.0,AUTOMATIC,four wheel drive,4.0,Compact,Crew Cab Pickup,30320,18.5
Chevrolet,Colorado,2012,regular unleaded,242.0,5.0,AUTOMATIC,rear wheel drive,4.0,Compact,Extended Cab Pickup,26160,20.0
Chevrolet,Colorado,2012,regular unleaded,242.0,5.0,AUTOMATIC,rear wheel drive,4.0,Compact,Crew Cab Pickup,27490,20.0
Chevrolet,Colorado,2012,regular unleaded,185.0,4.0,AUTOMATIC,rear wheel drive,4.0,Compact,Extended Cab Pickup,22955,21.5
Chevrolet,Colorado,2012,regular unleaded,185.0,4.0,MANUAL,rear wheel drive,4.0,Compact,Extended Cab Pickup,19730,21.5
Chevrolet,Colorado,2012,regular unleaded,185.0,4.0,AUTOMATIC,four wheel drive,2.0,Compact,Regular Cab Pickup,24440,20.0
Chevrolet,Colorado,2012,regular unleaded,185.0,4.0,MANUAL,rear wheel drive,2.0,Compact,Regular Cab Pickup,17475,21.5
Chevrolet,Colorado,2012,regular unleaded,185.0,4.0,AUTOMATIC,rear wheel drive,4.0,Compact,Crew Cab Pickup,24285,21.5
Chevrolet,Colorado,2012,regular unleaded,185.0,4.0,AUTOMATIC,four wheel drive,4.0,Compact,Extended Cab Pickup,26620,20.0
Chevrolet,Colorado,2012,regular unleaded,185.0,4.0,AUTOMATIC,rear wheel drive,2.0,Compact,Regular Cab Pickup,20370,21.5
Chevrolet,Colorado,2012,regular unleaded,300.0,8.0,AUTOMATIC,rear wheel drive,4.0,Compact,Extended Cab Pickup,27010,17.0
Chevrolet,Colorado,2012,regular unleaded,242.0,5.0,AUTOMATIC,four wheel drive,4.0,Compact,Crew Cab Pickup,28460,18.5
Chevrolet,Colorado,2015,regular unleaded,200.0,4.0,AUTOMATIC,four wheel drive,4.0,Compact,Extended Cab Pickup,29220,22.0
Chevrolet,Colorado,2015,regular unleaded,200.0,4.0,AUTOMATIC,rear wheel drive,4.0,Compact,Crew Cab Pickup,29550,23.5
Chevrolet,Colorado,2015,regular unleaded,305.0,6.0,AUTOMATIC,rear wheel drive,4.0,Compact,Crew Cab Pickup,25850,22.0
Chevrolet,Colorado,2015,regular unleaded,305.0,6.0,AUTOMATIC,rear wheel drive,4.0,Compact,Crew Cab Pickup,28630,22.0
Chevrolet,Colorado,2015,regular unleaded,200.0,4.0,AUTOMATIC,rear wheel drive,4.0,Compact,Crew Cab Pickup,27110,23.5
Chevrolet,Colorado,2015,regular unleaded,200.0,4.0,AUTOMATIC,rear wheel drive,4.0,Compact,Crew Cab Pickup,24330,23.5
Chevrolet,Colorado,2015,regular unleaded,200.0,4.0,AUTOMATIC,four wheel drive,4.0,Compact,Extended Cab Pickup,26885,22.0
Chevrolet,Colorado,2015,regular unleaded,305.0,6.0,AUTOMATIC,four wheel drive,4.0,Compact,Crew Cab Pickup,30005,20.5
Chevrolet,Colorado,2015,regular unleaded,305.0,6.0,AUTOMATIC,four wheel drive,4.0,Compact,Crew Cab Pickup,34415,20.5
Chevrolet,Colorado,2015,regular unleaded,200.0,4.0,MANUAL,rear wheel drive,4.0,Compact,Extended Cab Pickup,21775,22.5
Chevrolet,Colorado,2015,regular unleaded,305.0,6.0,AUTOMATIC,four wheel drive,4.0,Compact,Crew Cab Pickup,32085,20.5
Chevrolet,Colorado,2015,regular unleaded,305.0,6.0,AUTOMATIC,rear wheel drive,4.0,Compact,Crew Cab Pickup,30785,22.0
Chevrolet,Colorado,2015,regular unleaded,305.0,6.0,AUTOMATIC,four wheel drive,4.0,Compact,Crew Cab Pickup,32385,20.5
Chevrolet,Colorado,2015,regular unleaded,305.0,6.0,AUTOMATIC,four wheel drive,4.0,Compact,Crew Cab Pickup,34115,20.5
Chevrolet,Colorado,2015,regular unleaded,200.0,4.0,AUTOMATIC,rear wheel drive,4.0,Compact,Extended Cab Pickup,25170,23.5
Chevrolet,Colorado,2015,regular unleaded,200.0,4.0,MANUAL,rear wheel drive,4.0,Compact,Extended Cab Pickup,20120,22.5
Chevrolet,Colorado,2015,regular unleaded,200.0,4.0,AUTOMATIC,rear wheel drive,4.0,Compact,Extended Cab Pickup,27630,23.5
Chevrolet,Colorado,2015,regular unleaded,305.0,6.0,AUTOMATIC,four wheel drive,4.0,Compact,Crew Cab Pickup,29705,20.5
Chevrolet,Colorado,2015,regular unleaded,200.0,4.0,AUTOMATIC,four wheel drive,4.0,Compact,Extended Cab Pickup,31555,22.0
Chevrolet,Colorado,2016,regular unleaded,305.0,6.0,AUTOMATIC,four wheel drive,4.0,Compact,Crew Cab Pickup,30665,20.5
Chevrolet,Colorado,2016,regular unleaded,305.0,6.0,AUTOMATIC,four wheel drive,4.0,Compact,Crew Cab Pickup,32895,20.5
Chevrolet,Colorado,2016,regular unleaded,305.0,6.0,AUTOMATIC,four wheel drive,4.0,Compact,Crew Cab Pickup,35000,20.5
Chevrolet,Colorado,2016,regular unleaded,305.0,6.0,AUTOMATIC,four wheel drive,4.0,Compact,Crew Cab Pickup,30365,20.5
Chevrolet,Colorado,2016,regular unleaded,200.0,4.0,AUTOMATIC,rear wheel drive,4.0,Compact,Extended Cab Pickup,28515,23.5
Chevrolet,Colorado,2016,regular unleaded,305.0,6.0,AUTOMATIC,four wheel drive,4.0,Compact,Crew Cab Pickup,33195,20.5
Chevrolet,Colorado,2016,regular unleaded,200.0,4.0,AUTOMATIC,four wheel drive,4.0,Compact,Extended Cab Pickup,30030,22.0
Chevrolet,Colorado,2016,regular unleaded,200.0,4.0,MANUAL,rear wheel drive,4.0,Compact,Extended Cab Pickup,20100,22.5
Chevrolet,Colorado,2016,regular unleaded,200.0,4.0,AUTOMATIC,four wheel drive,4.0,Compact,Extended Cab Pickup,32440,22.0
Chevrolet,Colorado,2016,regular unleaded,305.0,6.0,AUTOMATIC,rear wheel drive,4.0,Compact,Crew Cab Pickup,31670,22.0
Chevrolet,Colorado,2016,regular unleaded,305.0,6.0,AUTOMATIC,rear wheel drive,4.0,Compact,Crew Cab Pickup,26510,22.0
Chevrolet,Colorado,2016,regular unleaded,200.0,4.0,AUTOMATIC,rear wheel drive,4.0,Compact,Crew Cab Pickup,30435,23.5
Chevrolet,Colorado,2016,regular unleaded,200.0,4.0,AUTOMATIC,four wheel drive,4.0,Compact,Extended Cab Pickup,27545,22.0
Chevrolet,Colorado,2016,regular unleaded,200.0,4.0,AUTOMATIC,rear wheel drive,4.0,Compact,Crew Cab Pickup,24990,23.5
Chevrolet,Colorado,2016,regular unleaded,305.0,6.0,AUTOMATIC,four wheel drive,4.0,Compact,Crew Cab Pickup,35300,20.5
Chevrolet,Colorado,2016,regular unleaded,200.0,4.0,AUTOMATIC,rear wheel drive,4.0,Compact,Crew Cab Pickup,27920,23.5
Chevrolet,Colorado,2016,regular unleaded,200.0,4.0,MANUAL,rear wheel drive,4.0,Compact,Extended Cab Pickup,22435,22.5
Chevrolet,Colorado,2016,regular unleaded,200.0,4.0,AUTOMATIC,rear wheel drive,4.0,Compact,Extended Cab Pickup,25980,23.5
Chevrolet,Colorado,2016,regular unleaded,305.0,6.0,AUTOMATIC,rear wheel drive,4.0,Compact,Crew Cab Pickup,29440,22.0
Dodge,Colt,1992,regular unleaded,92.0,4.0,MANUAL,front wheel drive,2.0,Compact,2dr Hatchback,2000,30.0
Dodge,Colt,1992,regular unleaded,92.0,4.0,MANUAL,front wheel drive,2.0,Compact,2dr Hatchback,2000,28.5
Dodge,Colt,1993,regular unleaded,92.0,4.0,MANUAL,front wheel drive,2.0,Compact,Coupe,2000,32.0
Dodge,Colt,1993,regular unleaded,113.0,4.0,MANUAL,front wheel drive,4.0,Compact,Sedan,2000,27.0
Dodge,Colt,1993,regular unleaded,92.0,4.0,MANUAL,front wheel drive,2.0,Compact,Coupe,2000,32.0
Dodge,Colt,1993,regular unleaded,92.0,4.0,MANUAL,front wheel drive,4.0,Compact,Sedan,2000,32.0
Dodge,Colt,1994,regular unleaded,113.0,4.0,MANUAL,front wheel drive,4.0,Compact,Sedan,2000,26.5
Dodge,Colt,1994,regular unleaded,92.0,4.0,MANUAL,front wheel drive,2.0,Compact,Coupe,2000,31.5
Dodge,Colt,1994,regular unleaded,113.0,4.0,MANUAL,front wheel drive,4.0,Compact,Sedan,2000,26.5
Dodge,Colt,1994,regular unleaded,92.0,4.0,MANUAL,front wheel drive,2.0,Compact,Coupe,2000,31.5
Plymouth,Colt,1992,regular unleaded,113.0,4.0,MANUAL,front wheel drive,4.0,Compact,Wagon,2000,23.5
Plymouth,Colt,1992,regular unleaded,92.0,4.0,MANUAL,front wheel drive,2.0,Compact,2dr Hatchback,2000,28.5
Plymouth,Colt,1992,regular unleaded,92.0,4.0,MANUAL,front wheel drive,2.0,Compact,2dr Hatchback,2000,30.0
Plymouth,Colt,1992,regular unleaded,113.0,4.0,MANUAL,front wheel drive,4.0,Compact,Wagon,2000,23.5
Plymouth,Colt,1992,regular unleaded,113.0,4.0,MANUAL,all wheel drive,4.0,Compact,Wagon,2000,21.5
Plymouth,Colt,1993,regular unleaded,92.0,4.0,MANUAL,front wheel drive,2.0,Compact,Coupe,2000,32.0
Plymouth,Colt,1993,regular unleaded,92.0,4.0,MANUAL,front wheel drive,2.0,Compact,Coupe,2000,32.0
Plymouth,Colt,1993,regular unleaded,113.0,4.0,MANUAL,all wheel drive,4.0,Compact,Wagon,2000,21.5
Plymouth,Colt,1993,regular unleaded,113.0,4.0,MANUAL,front wheel drive,4.0,Compact,Sedan,2000,27.0
Plymouth,Colt,1993,regular unleaded,92.0,4.0,MANUAL,front wheel drive,4.0,Compact,Sedan,2000,32.0
Plymouth,Colt,1993,regular unleaded,136.0,4.0,MANUAL,front wheel drive,4.0,Compact,Wagon,2000,22.5
Plymouth,Colt,1993,regular unleaded,113.0,4.0,MANUAL,front wheel drive,4.0,Compact,Wagon,2000,23.5
Plymouth,Colt,1994,regular unleaded,113.0,4.0,MANUAL,front wheel drive,4.0,Compact,Wagon,2000,24.0
Plymouth,Colt,1994,regular unleaded,136.0,4.0,MANUAL,front wheel drive,4.0,Compact,Wagon,2000,22.0
Plymouth,Colt,1994,regular unleaded,136.0,4.0,MANUAL,all wheel drive,4.0,Compact,Wagon,2000,20.0
Plymouth,Colt,1994,regular unleaded,92.0,4.0,MANUAL,front wheel drive,2.0,Compact,Coupe,2000,31.5
Plymouth,Colt,1994,regular unleaded,92.0,4.0,MANUAL,front wheel drive,2.0,Compact,Coupe,2000,31.5
Plymouth,Colt,1994,regular unleaded,113.0,4.0,MANUAL,front wheel drive,4.0,Compact,Sedan,2000,26.5
Plymouth,Colt,1994,regular unleaded,113.0,4.0,MANUAL,front wheel drive,4.0,Compact,Sedan,2000,26.5
Chrysler,Concorde,2002,regular unleaded,234.0,6.0,AUTOMATIC,four wheel drive,4.0,Large,Sedan,25520,20.0
Chrysler,Concorde,2002,regular unleaded,200.0,6.0,AUTOMATIC,four wheel drive,4.0,Large,Sedan,22790,22.0
Chrysler,Concorde,2002,regular unleaded,250.0,6.0,AUTOMATIC,four wheel drive,4.0,Large,Sedan,28415,20.0
Chrysler,Concorde,2003,regular unleaded,200.0,6.0,AUTOMATIC,front wheel drive,4.0,Large,Sedan,23180,23.0
Chrysler,Concorde,2003,regular unleaded,234.0,6.0,AUTOMATIC,front wheel drive,4.0,Large,Sedan,25910,21.0
Chrysler,Concorde,2003,regular unleaded,250.0,6.0,AUTOMATIC,front wheel drive,4.0,Large,Sedan,28805,21.0
Chrysler,Concorde,2004,regular unleaded,200.0,6.0,AUTOMATIC,front wheel drive,4.0,Large,Sedan,23480,23.0
Chrysler,Concorde,2004,regular unleaded,234.0,6.0,AUTOMATIC,front wheel drive,4.0,Large,Sedan,26210,21.0
Chrysler,Concorde,2004,regular unleaded,250.0,6.0,AUTOMATIC,front wheel drive,4.0,Large,Sedan,29105,21.0
Lincoln,Continental,2001,regular unleaded,275.0,8.0,AUTOMATIC,front wheel drive,4.0,Large,Sedan,39660,19.0
Lincoln,Continental,2002,premium unleaded (required),275.0,8.0,AUTOMATIC,front wheel drive,4.0,Large,Sedan,39895,19.0
Lincoln,Continental,2002,premium unleaded (required),275.0,8.0,AUTOMATIC,front wheel drive,4.0,Large,Sedan,38185,19.0
Lincoln,Continental,2002,premium unleaded (required),275.0,8.0,AUTOMATIC,front wheel drive,4.0,Large,Sedan,38790,19.0
Lincoln,Continental,2002,premium unleaded (required),275.0,8.0,AUTOMATIC,front wheel drive,4.0,Large,Sedan,39775,19.0
Lincoln,Continental,2017,regular unleaded,305.0,6.0,AUTOMATIC,front wheel drive,4.0,Large,Sedan,44560,21.5
Lincoln,Continental,2017,regular unleaded,305.0,6.0,AUTOMATIC,all wheel drive,4.0,Large,Sedan,46560,20.0
Lincoln,Continental,2017,regular unleaded,305.0,6.0,AUTOMATIC,all wheel drive,4.0,Large,Sedan,49515,20.0
Lincoln,Continental,2017,premium unleaded (recommended),259.0508474576271,6.0,AUTOMATIC,all wheel drive,4.0,Large,Sedan,55915,21.0
Lincoln,Continental,2017,premium unleaded (recommended),259.0508474576271,6.0,AUTOMATIC,front wheel drive,4.0,Large,Sedan,62915,22.5
Lincoln,Continental,2017,premium unleaded (recommended),259.0508474576271,6.0,AUTOMATIC,front wheel drive,4.0,Large,Sedan,53915,22.5
Lincoln,Continental,2017,premium unleaded (recommended),259.0508474576271,6.0,AUTOMATIC,all wheel drive,4.0,Large,Sedan,64915,21.0
Lincoln,Continental,2017,regular unleaded,305.0,6.0,AUTOMATIC,front wheel drive,4.0,Large,Sedan,47515,21.5
Ford,Contour SVT,1998,regular unleaded,195.0,6.0,MANUAL,front wheel drive,4.0,Midsize,Sedan,2655,21.5
Ford,Contour SVT,1999,regular unleaded,200.0,6.0,MANUAL,front wheel drive,4.0,Midsize,Sedan,2702,21.5
Ford,Contour SVT,2000,regular unleaded,200.0,6.0,MANUAL,front wheel drive,4.0,Midsize,Sedan,2937,22.5
Ford,Contour,1998,regular unleaded,125.0,4.0,MANUAL,front wheel drive,4.0,Midsize,Sedan,2000,26.5
Ford,Contour,1998,regular unleaded,125.0,4.0,MANUAL,front wheel drive,4.0,Midsize,Sedan,2000,26.5
Ford,Contour,1998,regular unleaded,125.0,4.0,MANUAL,front wheel drive,4.0,Midsize,Sedan,2000,26.5
Ford,Contour,1998,regular unleaded,125.0,4.0,MANUAL,front wheel drive,4.0,Midsize,Sedan,2000,26.5
Ford,Contour,1999,regular unleaded,125.0,4.0,MANUAL,front wheel drive,4.0,Midsize,Sedan,2000,26.0
Ford,Contour,1999,regular unleaded,125.0,4.0,MANUAL,front wheel drive,4.0,Midsize,Sedan,2000,26.0
Ford,Contour,2000,regular unleaded,170.0,6.0,MANUAL,front wheel drive,4.0,Midsize,Sedan,2000,22.5
Ford,Contour,2000,regular unleaded,125.0,4.0,MANUAL,front wheel drive,4.0,Midsize,Sedan,2079,26.0
Toyota,Corolla iM,2017,regular unleaded,137.0,4.0,MANUAL,front wheel drive,4.0,Compact,4dr Hatchback,18750,31.0
Toyota,Corolla iM,2017,regular unleaded,137.0,4.0,AUTOMATIC,front wheel drive,4.0,Compact,4dr Hatchback,19490,32.0
Toyota,Corolla,2015,regular unleaded,140.0,4.0,AUTOMATIC,front wheel drive,4.0,Compact,Sedan,18965,36.0
Toyota,Corolla,2015,regular unleaded,132.0,4.0,AUTOMATIC,front wheel drive,4.0,Compact,Sedan,18965,33.5
Toyota,Corolla,2015,regular unleaded,140.0,4.0,AUTOMATIC,front wheel drive,4.0,Compact,Sedan,19665,35.0
Toyota,Corolla,2015,regular unleaded,132.0,4.0,AUTOMATIC,front wheel drive,4.0,Compact,Sedan,19895,33.0
Toyota,Corolla,2015,regular unleaded,132.0,4.0,AUTOMATIC,front wheel drive,4.0,Compact,Sedan,17550,31.5
Toyota,Corolla,2015,regular unleaded,132.0,4.0,MANUAL,front wheel drive,4.0,Compact,Sedan,16950,32.5
Toyota,Corolla,2015,regular unleaded,132.0,4.0,MANUAL,front wheel drive,4.0,Compact,Sedan,21495,32.5
Toyota,Corolla,2015,regular unleaded,132.0,4.0,AUTOMATIC,front wheel drive,4.0,Compact,Sedan,22025,33.5
Toyota,Corolla,2015,regular unleaded,132.0,4.0,AUTOMATIC,front wheel drive,4.0,Compact,Sedan,22955,33.0
Toyota,Corolla,2015,regular unleaded,132.0,4.0,AUTOMATIC,front wheel drive,4.0,Compact,Sedan,19195,33.0
Toyota,Corolla,2015,regular unleaded,140.0,4.0,AUTOMATIC,front wheel drive,4.0,Compact,Sedan,22725,35.0
Toyota,Corolla,2015,regular unleaded,132.0,4.0,AUTOMATIC,front wheel drive,4.0,Compact,Sedan,18565,33.5
Toyota,Corolla,2016,regular unleaded,140.0,4.0,AUTOMATIC,front wheel drive,4.0,Compact,Sedan,19135,36.0
Toyota,Corolla,2016,regular unleaded,132.0,4.0,AUTOMATIC,front wheel drive,4.0,Compact,Sedan,19135,33.5
Toyota,Corolla,2016,regular unleaded,132.0,4.0,AUTOMATIC,front wheel drive,4.0,Compact,Sedan,20065,33.0
Toyota,Corolla,2016,regular unleaded,132.0,4.0,MANUAL,front wheel drive,4.0,Compact,Sedan,17300,32.5
Toyota,Corolla,2016,regular unleaded,132.0,4.0,AUTOMATIC,front wheel drive,4.0,Compact,Sedan,23125,33.0
Toyota,Corolla,2016,regular unleaded,132.0,4.0,MANUAL,front wheel drive,4.0,Compact,Sedan,21665,32.5
Toyota,Corolla,2016,regular unleaded,132.0,4.0,AUTOMATIC,front wheel drive,4.0,Compact,Sedan,22195,33.5
Toyota,Corolla,2016,regular unleaded,140.0,4.0,AUTOMATIC,front wheel drive,4.0,Compact,Sedan,19835,35.0
Toyota,Corolla,2016,regular unleaded,132.0,4.0,AUTOMATIC,front wheel drive,4.0,Compact,Sedan,20635,33.0
Toyota,Corolla,2016,regular unleaded,140.0,4.0,AUTOMATIC,front wheel drive,4.0,Compact,Sedan,22895,35.0
Toyota,Corolla,2016,regular unleaded,132.0,4.0,AUTOMATIC,front wheel drive,4.0,Compact,Sedan,17900,31.5
Toyota,Corolla,2016,regular unleaded,132.0,4.0,AUTOMATIC,front wheel drive,4.0,Compact,Sedan,18735,33.5
Toyota,Corolla,2016,regular unleaded,132.0,4.0,AUTOMATIC,front wheel drive,4.0,Compact,Sedan,19365,33.0
Toyota,Corolla,2017,regular unleaded,132.0,4.0,AUTOMATIC,front wheel drive,4.0,Compact,Sedan,22680,31.5
Toyota,Corolla,2017,regular unleaded,140.0,4.0,AUTOMATIC,front wheel drive,4.0,Compact,Sedan,21300,35.0
Toyota,Corolla,2017,regular unleaded,132.0,4.0,AUTOMATIC,front wheel drive,4.0,Compact,Sedan,18500,32.0
Toyota,Corolla,2017,regular unleaded,132.0,4.0,MANUAL,front wheel drive,4.0,Compact,Sedan,21665,31.0
Toyota,Corolla,2017,regular unleaded,140.0,4.0,AUTOMATIC,front wheel drive,4.0,Compact,Sedan,19335,35.0
Toyota,Corolla,2017,regular unleaded,132.0,4.0,AUTOMATIC,front wheel drive,4.0,Compact,Sedan,21900,31.5
Toyota,Corolla,2017,regular unleaded,132.0,4.0,AUTOMATIC,front wheel drive,4.0,Compact,Sedan,21825,32.0
Toyota,Corolla,2017,regular unleaded,132.0,4.0,AUTOMATIC,front wheel drive,4.0,Compact,Sedan,18935,32.0
Toyota,Corolla,2017,regular unleaded,132.0,4.0,AUTOMATIC,front wheel drive,4.0,Compact,Sedan,20445,31.5
Volkswagen,Corrado,1992,regular unleaded,158.0,4.0,MANUAL,front wheel drive,2.0,Compact,2dr Hatchback,2000,22.0
Volkswagen,Corrado,1992,regular unleaded,178.0,6.0,MANUAL,front wheel drive,2.0,Compact,2dr Hatchback,2000,19.5
Volkswagen,Corrado,1993,regular unleaded,178.0,6.0,MANUAL,front wheel drive,2.0,Compact,2dr Hatchback,2000,19.5
Volkswagen,Corrado,1994,regular unleaded,178.0,6.0,MANUAL,front wheel drive,2.0,Compact,2dr Hatchback,2000,19.0
Chevrolet,Corsica,1994,regular unleaded,120.0,4.0,AUTOMATIC,front wheel drive,4.0,Compact,Sedan,2000,25.0
Chevrolet,Corsica,1996,regular unleaded,120.0,4.0,AUTOMATIC,front wheel drive,4.0,Compact,Sedan,2000,25.0
Chevrolet,Corvette Stingray,2014,premium unleaded (recommended),455.0,8.0,MANUAL,rear wheel drive,2.0,Compact,Coupe,53000,23.0
Chevrolet,Corvette Stingray,2014,premium unleaded (recommended),455.0,8.0,MANUAL,rear wheel drive,2.0,Compact,Coupe,57000,23.0
Chevrolet,Corvette Stingray,2014,premium unleaded (recommended),455.0,8.0,MANUAL,rear wheel drive,2.0,Compact,Convertible,62000,23.0
Chevrolet,Corvette Stingray,2014,premium unleaded (recommended),455.0,8.0,MANUAL,rear wheel drive,2.0,Compact,Convertible,58000,23.0
Chevrolet,Corvette,2015,premium unleaded (recommended),460.0,8.0,MANUAL,rear wheel drive,2.0,Compact,Convertible,68160,23.0
Chevrolet,Corvette,2015,premium unleaded (recommended),460.0,8.0,MANUAL,rear wheel drive,2.0,Compact,Coupe,64160,23.0
Chevrolet,Corvette,2015,premium unleaded (required),650.0,8.0,MANUAL,rear wheel drive,2.0,Compact,Convertible,83000,18.5
Chevrolet,Corvette,2015,premium unleaded (recommended),455.0,8.0,MANUAL,rear wheel drive,2.0,Compact,Convertible,63160,23.0
Chevrolet,Corvette,2015,premium unleaded (recommended),460.0,8.0,MANUAL,rear wheel drive,2.0,Compact,Convertible,64000,23.0
Chevrolet,Corvette,2015,premium unleaded (recommended),455.0,8.0,MANUAL,rear wheel drive,2.0,Compact,Coupe,55000,23.0
Chevrolet,Corvette,2015,premium unleaded (required),650.0,8.0,MANUAL,rear wheel drive,2.0,Compact,Coupe,87650,18.5
Chevrolet,Corvette,2015,premium unleaded (recommended),460.0,8.0,MANUAL,rear wheel drive,2.0,Compact,Convertible,73450,23.0
Chevrolet,Corvette,2015,premium unleaded (recommended),455.0,8.0,MANUAL,rear wheel drive,2.0,Compact,Coupe,64450,23.0
Chevrolet,Corvette,2015,premium unleaded (recommended),460.0,8.0,MANUAL,rear wheel drive,2.0,Compact,Coupe,69450,23.0
Chevrolet,Corvette,2015,premium unleaded (recommended),460.0,8.0,MANUAL,rear wheel drive,2.0,Compact,Coupe,60000,23.0
Chevrolet,Corvette,2015,premium unleaded (recommended),455.0,8.0,MANUAL,rear wheel drive,2.0,Compact,Convertible,59000,23.0
Chevrolet,Corvette,2015,premium unleaded (required),650.0,8.0,MANUAL,rear wheel drive,2.0,Compact,Coupe,82270,18.5
Chevrolet,Corvette,2015,premium unleaded (required),650.0,8.0,MANUAL,rear wheel drive,2.0,Compact,Convertible,86270,18.5
Chevrolet,Corvette,2015,premium unleaded (required),650.0,8.0,MANUAL,rear wheel drive,2.0,Compact,Convertible,91650,18.5
Chevrolet,Corvette,2015,premium unleaded (required),650.0,8.0,MANUAL,rear wheel drive,2.0,Compact,Coupe,79000,18.5
Chevrolet,Corvette,2015,premium unleaded (recommended),455.0,8.0,MANUAL,rear wheel drive,2.0,Compact,Convertible,68450,23.0
Chevrolet,Corvette,2015,premium unleaded (recommended),455.0,8.0,MANUAL,rear wheel drive,2.0,Compact,Coupe,59160,23.0
Chevrolet,Corvette,2016,premium unleaded (required),650.0,8.0,MANUAL,rear wheel drive,2.0,Compact,Coupe,88345,18.5
Chevrolet,Corvette,2016,premium unleaded (required),650.0,8.0,MANUAL,rear wheel drive,2.0,Compact,Coupe,79400,18.5
Chevrolet,Corvette,2016,premium unleaded (recommended),460.0,8.0,MANUAL,rear wheel drive,2.0,Compact,Coupe,70145,23.0
Chevrolet,Corvette,2016,premium unleaded (recommended),455.0,8.0,MANUAL,rear wheel drive,2.0,Compact,Coupe,65145,23.0
Chevrolet,Corvette,2016,premium unleaded (required),650.0,8.0,MANUAL,rear wheel drive,2.0,Compact,Convertible,83400,18.5
Chevrolet,Corvette,2016,premium unleaded (required),650.0,8.0,MANUAL,rear wheel drive,2.0,Compact,Coupe,82965,18.5
Chevrolet,Corvette,2016,premium unleaded (recommended),460.0,8.0,MANUAL,rear wheel drive,2.0,Compact,Convertible,68855,23.0
